regime	rapport	rapport2	rapport3
Gr	2.245	0.093117409	0.209090909
Inv	2.478	0.134502924	0.333333333
Inv	2.933	0.087121212	0.255555556
Inv	2.287	0.125423729	0.286821705
Inv	3.198	0.062015504	0.198347107
Inv	2.705	0.666666667	1.803278689
Inv	2.279	0.464516129	1.058823529
Inv	2.116	0.534246575	1.130434783
Fr_Inv_Lim	2.284	0.552995392	1.263157895
Fr_Inv_Lim	2.396	0.326446281	0.782178218
Inv	2.323	0.236111111	0.548387097
Fr_In	1.972	0.214285714	0.422535211
Fr_In	2.386	0.367647059	0.877192982
Inv	2.756	0.911290323	2.511111111
Inv	2.660	0.984962406	2.62
Inv	2.000	0.72	1.44
Inv	2.280	0.543859649	1.24
Inv	2.022	0.813186813	1.644444444
Gr_In	1.930	0.452554745	0.873239437
Gr_In	2.127	0.675213675	1.436363636
Gr	2.500	0.561290323	1.403225806
Fr_In	2.361	0.103202847	0.243697479
Gr	3.636	0.735	2.672727273
Fr_In	2.838	0.259911894	0.7375
Inv	2.398	0.251121076	0.602150538
Inv	1.941	0.412121212	0.8
Inv	2.014	0.671328671	1.352112676
Inv	3.135	0.552147239	1.730769231
Inv	2.852	0.461038961	1.314814815
Fr_Inv_Lim	4.223	0.16372796	0.691489362
Fr_In	2.237	0.553030303	1.237288136
Inv	2.625	0.26984127	0.708333333
Inv	2.051	0.5	1.025641026
Fr_In	2.115	0.224806202	0.475409836
Gr_In	1.931	0.294964029	0.569444444
Gr_In	2.150	0.813953488	1.75
Gr	1.884	0.530769231	1
Gr	2.153	0.68503937	1.474576271
Gr_In	1.806	0.744047619	1.344086022
Gr_In	1.952	0.43902439	0.857142857
Fr_In	1.861	0.437810945	0.814814815
Gr_In	1.778	0.346590909	0.616161616
Inv	2.392	0.56557377	1.352941176
Inv	1.829	0.328125	0.6
Inv	2.129	0.333333333	0.709677419
Fr_In	2.381	0.215	0.511904762
Gr_In	3.769	0.268221574	1.010989011
Gr	1.891	0.451923077	0.854545455
Gr	1.818	0.42	0.763636364
Gr	1.425	0.51754386	0.7375
Fr_In	2.288	0.152317881	0.348484848
Gr	3.660	0.5	1.830188679
Inv	2.532	0.18487395	0.468085106
Inv	4.119	0.468208092	1.928571429
Inv	3.385	0.583333333	1.974358974
Inv	2.675	0.570093458	1.525
Inv	2.767	0.319277108	0.883333333
Fr_Inv_Lim	2.500	0.140425532	0.35106383
Fr_Inv_Lim	2.361	0.222707424	0.525773196
Fr_Inv_Lim	3.000	0.365296804	1.095890411
Fr_Inv_Lim	2.627	0.172588832	0.453333333
Inv	2.507	0.19047619	0.47761194
Inv	2.756	0.225806452	0.622222222
Fr_In	2.379	0.130434783	0.310344828
Inv	3.077	0.241666667	0.743589744
Fr_In	2.045	0.204379562	0.417910448
Inv	3.333	0.24	0.8
Fr_In	2.531	0.169354839	0.428571429
Fr_Inv_Lim	2.398	0.133603239	0.32038835
Gr_In	2.077	0.222222222	0.461538462
Gr_In	1.986	0.204379562	0.405797101
Gr	1.536	0.264150943	0.405797101
Fr_Inv_Lim	3.340	0.086826347	0.29
Gr_In	1.786	0.184	0.328571429
Gr	4.706	0.1	0.470588235
Inv	1.820	0.115131579	0.209580838
Inv	1.397	0.159533074	0.222826087
Inv	2.955	0.087912088	0.25974026
Inv	2.533	0.210526316	0.533333333
Fr_Inv_Lim	2.179	0.547945205	1.194029851
Fr_Inv_Lim	2.566	0.342519685	0.878787879
Inv	2.652	0.137142857	0.363636364
Inv	2.500	0.241176471	0.602941176
Fr_In	2.407	0.253521127	0.610169492
Fr_In	2.491	0.274647887	0.684210526
Inv	2.294	0.58974359	1.352941176
Inv	2.480	0.39516129	0.98
Inv	2.286	0.3125	0.714285714
Inv	3.103	0.297520661	0.923076923
Inv	2.870	0.636363636	1.826086957
Inv	3.438	0.836363636	2.875
Inv	1.775	1.112676056	1.975
Inv	2.167	0.369230769	0.8
Inv	4.515	0.218241042	0.985294118
Gr	4.359	0.529411765	2.307692308
Gr_In	1.781	0.461538462	0.821917808
Gr_In	2.099	0.44295302	0.929577465
Gr_In	1.769	0.72173913	1.276923077
