	wingl 	taill 	culml 	bilh 	billw 	tarsl 	midtl	weig
E033	44.1	27.7	22.6	2.3	2.7	2.7	6.1	3.1
E034	50.0	32.4	23.0	2.3	3.6	2.8	7.1	4.3
E035	47.0	25.2	20.8	2.3	3.1	2.5	6.4	3.4
E070	132.4	88.5	43.8	3.7	7.0	6.7	14.8	18.5
E071	63.8	42.4	22.7	2.4	3.9	5.3	8.6	5.8
E001	255.0	173.0	24.7	11.0	11.0	26.2	47.0	500.0
E031	213.5	162.0	26.3	7.2	8.7	25.7	42.1	408.5
E100	184.0	118.0	32.0	5.4	6.8	19.0	30.5	138.2
E032	149.2	158.5	20.0	3.9	5.5	18.1	26.8	127.0
E069	152.4	99.4	19.4	4.5	5.3	20.4	29.7	130.5
E101	211.3	224.7	30.4	10.0	16.7	33.8	39.1	134.0
E102	216.0	179.0	25.7	7.8	18.4	27.9	33.2	105.7
E099	163.0	96.0	23.3	12.0	18.0	38.2	45.0	450.0
E030	115.8	97.4	15.8	7.9	8.3	29.3	38.7	198.0
E121	61.0	90.0	7.1	3.4	4.0	13.9	12.2	8.0
E048	48.2	53.5	8.0	3.0	3.9	15.5	11.5	5.7
E104	95.0	51.0	12.5	5.0	6.0	21.0	19.0	29.0
E057	90.7	73.7	17.6	11.3	9.9	20.9	22.5	31.8
E056	100.5	79.4	20.1	13.1	10.8	23.4	21.1	41.6
E127	80.5	57.0	11.5	7.2	6.5	15.3	18.0	18.1
E064	67.7	50.7	10.0	6.2	5.5	13.2	15.1	10.9
E025	79.0	51.8	15.5	7.4	6.2	15.3	17.3	16.0
E063	64.5	44.9	10.4	6.2	5.5	12.1	12.6	8.9
E098	74.3	52.5	12.5	7.9	7.0	15.8	18.3	16.6
E065	79.5	60.5	14.4	8.7	8.0	18.5	19.5	22.4
E066	78.0	60.6	11.4	8.2	8.0	17.9	18.4	20.5
E027	85.3	66.0	12.5	8.6	9.6	17.2	17.3	25.5
E026	104.5	57.5	24.6	16.2	15.9	22.2	24.1	55.0
E124	62.0	65.0	17.0	2.9	3.9	15.5	16.0	8.5
E067	127.9	142.3	30.2	9.5	13.2	41.5	31.2	95.6
E128	178.0	160.0	31.2	12.0	14.9	38.6	34.0	175.0
E129	197.5	259.5	41.5	14.7	17.9	50.0	39.9	210.0
E053	61.7	71.1	12.7	5.9	5.9	19.1	18.8	15.8
E051	69.2	49.9	12.9	6.0	6.0	20.0	9.0	20.2
E052	64.9	48.4	13.0	6.4	6.9	19.4	18.4	15.2
E094	89.4	73.4	15.8	8.7	8.3	22.5	22.5	30.0
E023	89.5	77.7	13.7	5.9	7.1	19.8	19.3	27.5
E024	81.0	69.5	11.7	5.6	5.5	20.0	19.7	17.5
E125	87.0	70.0	13.0	5.6	7.3	19.8	19.9	23.6
E093	77.8	60.1	13.7	6.8	6.9	20.3	19.9	20.0
E054	87.4	99.2	16.8	9.6	9.3	28.1	27.3	42.4
E055	91.4	105.0	16.4	9.0	8.4	26.4	24.6	55.8
E095	76.2	55.2	10.6	7.1	6.9	15.8	19.1	16.0
E050	64.4	66.0	13.9	7.0	7.2	21.7	20.5	18.8
E092	77.4	66.4	13.5	6.5	6.5	20.6	21.0	23.0
E126	90.5	69.5	14.9	7.3	7.1	17.5	18.0	21.9
E075	62.6	76.0	13.2	3.4	3.9	19.9	17.5	12.2
E076	63.7	92.5	10.7	4.0	4.0	17.7	14.0	11.5
E074	52.8	142.0	17.3	2.9	4.2	22.6	18.3	10.9
E077	64.3	75.0	16.6	4.1	6.0	22.5	20.9	17.4
E097	129.6	109.6	33.4	10.5	10.0	31.7	32.3	106.0
