rapport	rapport2	rapport3	long	larg	haut	Ordre
2.245	0.093117409	0.209090909	24.7	11	2.3	Columbiformes
2.478	0.134502924	0.333333333	17.1	6.9	2.3	Piciformes
2.933	0.087121212	0.255555556	26.4	9	2.3	Piciformes
2.287	0.125423729	0.286821705	29.5	12.9	3.7	Piciformes
3.198	0.062015504	0.198347107	38.7	12.1	2.4	Piciformes
2.705	0.666666667	1.803278689	16.5	6.1	11	Passeriformes
2.279	0.464516129	1.058823529	15.5	6.8	7.2	Passeriformes
1.880	0.312138728	0.586956522	17.3	9.2	5.4	Passeriformes
3.093	0.293233083	0.906976744	13.3	4.3	3.9	Passeriformes
2.262	0.326086957	0.737704918	13.8	6.1	4.5	Passeriformes
2.145	0.675675676	1.449275362	14.8	6.9	10	Passeriformes
2.116	0.534246575	1.130434783	14.6	6.9	7.8	Passeriformes
2.284	0.552995392	1.263157895	21.7	9.5	12	Passeriformes
2.396	0.326446281	0.782178218	24.2	10.1	7.9	Passeriformes
2.323	0.236111111	0.548387097	14.4	6.2	3.4	Passeriformes
1.972	0.214285714	0.422535211	14	7.1	3	Passeriformes
2.386	0.367647059	0.877192982	13.6	5.7	5	Passeriformes
2.756	0.911290323	2.511111111	12.4	4.5	11.3	Passeriformes
2.660	0.984962406	2.62	13.3	5	13.1	Passeriformes
2.000	0.72	1.44	10	5	7.2	Passeriformes
2.280	0.543859649	1.24	11.4	5	6.2	Passeriformes
2.022	0.813186813	1.644444444	9.1	4.5	7.4	Passeriformes
1.930	0.452554745	0.873239437	13.7	7.1	6.2	Passeriformes
2.127	0.675213675	1.436363636	11.7	5.5	7.9	Passeriformes
2.500	0.561290323	1.403225806	15.5	6.2	8.7	Passeriformes
1.547	0.333333333	0.51572327	24.6	15.9	8.2	Passeriformes
1.302	0.688	0.895833333	12.5	9.6	8.6	Passeriformes
3.165	0.5625	1.78021978	28.8	9.1	16.2	Passeriformes
2.361	0.103202847	0.243697479	28.1	11.9	2.9	Passeriformes
1.904	0.601265823	1.144578313	15.8	8.3	9.5	Galliformes
3.023	0.456273764	1.379310345	26.3	8.7	12	Columbiformes
3.636	0.735	2.672727273	20	5.5	14.7	Columbiformes
8.370	0.261061947	2.185185185	22.6	2.7	5.9	Apodiformes
6.389	0.260869565	1.666666667	23	3.6	6	Apodiformes
6.710	0.307692308	2.064516129	20.8	3.1	6.4	Apodiformes
2.817	0.268518519	0.756521739	32.4	11.5	8.7	Piciformes
2.838	0.259911894	0.7375	22.7	8	5.9	Piciformes
3.387	0.133333333	0.451612903	42	12.4	5.6	Piciformes
2.398	0.251121076	0.602150538	22.3	9.3	5.6	Passeriformes
1.941	0.412121212	0.8	16.5	8.5	6.8	Passeriformes
2.014	0.671328671	1.352112676	14.3	7.1	9.6	Passeriformes
3.135	0.552147239	1.730769231	16.3	5.2	9	Passeriformes
2.852	0.461038961	1.314814815	15.4	5.4	7.1	Passeriformes
1.495	0.514705882	0.769230769	13.6	9.1	7	Passeriformes
4.223	0.16372796	0.691489362	39.7	9.4	6.5	Passeriformes
2.237	0.553030303	1.237288136	13.2	5.9	7.3	Passeriformes
2.625	0.26984127	0.708333333	12.6	4.8	3.4	Passeriformes
2.051	0.5	1.025641026	8	3.9	4	Passeriformes
2.115	0.224806202	0.475409836	12.9	6.1	2.9	Passeriformes
1.931	0.294964029	0.569444444	13.9	7.2	4.1	Passeriformes
2.150	0.813953488	1.75	12.9	6	10.5	Passeriformes
1.884	0.530769231	1	13	6.9	6.9	Passeriformes
2.153	0.68503937	1.474576271	12.7	5.9	8.7	Passeriformes
1.806	0.744047619	1.344086022	16.8	9.3	12.5	Passeriformes
1.952	0.43902439	0.857142857	16.4	8.4	7.2	Passeriformes
1.861	0.437810945	0.814814815	20.1	10.8	8.8	Passeriformes
1.778	0.346590909	0.616161616	17.6	9.9	6.1	Passeriformes
2.392	0.56557377	1.352941176	12.2	5.1	6.9	Passeriformes
1.829	0.328125	0.6	12.8	7	4.2	Passeriformes
2.129	0.333333333	0.709677419	13.2	6.2	4.4	Passeriformes
2.381	0.215	0.511904762	20	8.4	4.3	Passeriformes
3.769	0.268221574	1.010989011	34.3	9.1	9.2	Passeriformes
1.891	0.451923077	0.854545455	10.4	5.5	4.7	Passeriformes
1.818	0.42	0.763636364	10	5.5	4.2	Passeriformes
1.800	0.333333333	0.6	14.4	8	4.8	Passeriformes
1.425	0.51754386	0.7375	11.4	8	5.9	Passeriformes
2.288	0.152317881	0.348484848	30.2	13.2	4.6	Passeriformes
2.131	0.126712329	0.270072993	29.2	13.7	3.7	Tinamiformes
3.660	0.5	1.830188679	19.4	5.3	9.7	Columbiformes
6.257	0.057077626	0.357142857	43.8	7	2.5	Apodiformes
5.821	0.171806167	1	22.7	3.9	3.9	Apodiformes
2.532	0.18487395	0.468085106	23.8	9.4	4.4	Piciformes
4.113	0.174311927	0.716981132	43.6	10.6	7.6	Piciformes
4.119	0.468208092	1.928571429	17.3	4.2	8.1	Passeriformes
3.385	0.583333333	1.974358974	13.2	3.9	7.7	Passeriformes
2.675	0.570093458	1.525	10.7	4	6.1	Passeriformes
2.767	0.319277108	0.883333333	16.6	6	5.3	Passeriformes
2.500	0.140425532	0.35106383	23.5	9.4	3.3	Passeriformes
2.361	0.222707424	0.525773196	22.9	9.7	5.1	Passeriformes
3.000	0.365296804	1.095890411	21.9	7.3	8	Passeriformes
2.627	0.172588832	0.453333333	19.7	7.5	3.4	Passeriformes
2.507	0.19047619	0.47761194	16.8	6.7	3.2	Passeriformes
2.756	0.225806452	0.622222222	12.4	4.5	2.8	Passeriformes
2.705	0.083094556	0.224806202	34.9	12.9	2.9	Passeriformes
2.379	0.130434783	0.310344828	20.7	8.7	2.7	Passeriformes
3.077	0.241666667	0.743589744	12	3.9	2.9	Passeriformes
2.045	0.204379562	0.417910448	13.7	6.7	2.8	Passeriformes
1.566	0.237288136	0.371681416	17.7	11.3	4.2	Passeriformes
3.333	0.24	0.8	15	4.5	3.6	Passeriformes
2.531	0.169354839	0.428571429	24.8	9.8	4.2	Passeriformes
2.398	0.133603239	0.32038835	24.7	10.3	3.3	Passeriformes
2.077	0.222222222	0.461538462	13.5	6.5	3	Passeriformes
1.986	0.204379562	0.405797101	13.7	6.9	2.8	Passeriformes
1.904	0.183544304	0.34939759	15.8	8.3	2.9	Passeriformes
1.536	0.264150943	0.405797101	10.6	6.9	2.8	Passeriformes
3.196	0.119631902	0.382352941	32.6	10.2	3.9	Passeriformes
3.340	0.086826347	0.29	33.4	10	2.9	Passeriformes
1.786	0.184	0.328571429	12.5	7	2.3	Passeriformes
1.294	0.137339056	0.177777778	23.3	18	3.2	Galliformes
4.706	0.1	0.470588235	32	6.8	3.2	Columbiformes
1.820	0.115131579	0.209580838	30.4	16.7	3.5	Cuculiformes
1.397	0.159533074	0.222826087	25.7	18.4	4.1	Cuculiformes
2.955	0.087912088	0.25974026	45.5	15.4	4	Piciformes
2.083	0.32	0.666666667	12.5	6	4	Passeriformes
2.533	0.210526316	0.533333333	19	7.5	4	Passeriformes
1.833	0.28708134	0.526315789	20.9	11.4	6	Passeriformes
2.179	0.547945205	1.194029851	14.6	6.7	8	Passeriformes
1.966	0.432748538	0.850574713	17.1	8.7	7.4	Passeriformes
2.188	0.411428571	0.9	17.5	8	7.2	Passeriformes
2.566	0.342519685	0.878787879	25.4	9.9	8.7	Passeriformes
