espece	regime	wingl	taill	culml	bilh	billw	tarsl	midtl	weig
E001	Gr	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E002	Inv	wingl_moyen	taill_trescourt	culml_moyen	bilh_court	billw_large	tarsl_trescourt	midtl_court	weig_leger
E003	Inv	wingl_long	taill_moyen	culml_long	bilh_moyen	billw_moyen	tarsl_moyen	midtl_moyen	weig_moyen
E004	Inv	wingl_long	taill_moyen	culml_long	bilh_long	billw_large	tarsl_court	midtl_moyen	weig_lourd
E005	Inv	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E006	Inv	wingl_moyen	taill_moyen	culml_long	bilh_court	billw_fin	tarsl_moyen	midtl_court	weig_moyen
E007	Inv	wingl_moyen	taill_court	culml_court	bilh_court	billw_fin	tarsl_moyen	midtl_moyen	weig_moyen
E012	Inv	wingl_court	taill_trescourt	culml_court	bilh_court	billw_large	tarsl_moyen	midtl_moyen	weig_leger
E013	Fr_Inv_Lim	wingl_long	taill_moyen	culml_moyen	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_moyen
E014	Fr_Inv_Lim	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E015	Inv	wingl_trescourt	taill_court	culml_court	bilh_trescourt	billw_fin	tarsl_court	midtl_court	weig_leger
E016	Fr_In	wingl_court	taill_court	culml_court	bilh_court	billw_moyen	tarsl_court	midtl_court	weig_leger
E017	Fr_In	wingl_court	taill_court	culml_court	bilh_long	billw_fin	tarsl_moyen	midtl_court	weig_leger
E018	Inv	wingl_court	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E019	Inv	wingl_court	taill_trescourt	culml_court	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E020	Inv	wingl_trescourt	taill_court	culml_trescourt	bilh_court	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E021	Inv	wingl_court	taill_court	culml_trescourt	bilh_court	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E022	Inv	wingl_court	taill_court	culml_trescourt	bilh_court	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E023	Gr_In	wingl_moyen	taill_moyen	culml_court	bilh_moyen	billw_moyen	tarsl_court	midtl_long	weig_moyen
E024	Gr_In	wingl_long	taill_moyen	culml_trescourt	bilh_long	billw_large	tarsl_court	midtl_moyen	weig_leger
E025	Gr	wingl_court	taill_trescourt	culml_court	bilh_moyen	billw_fin	tarsl_trescourt	midtl_court	weig_leger
E029	Fr_In	wingl_long	taill_moyen	culml_long	bilh_long	billw_large	tarsl_court	midtl_moyen	weig_moyen
E032	Gr	wingl_long	taill_long	culml_moyen	bilh_court	billw_large	tarsl_court	midtl_moyen	weig_lourd
E037	Fr_In	wingl_moyen	taill_court	culml_moyen	bilh_moyen	billw_moyen	tarsl_court	midtl_moyen	weig_moyen
E039	Inv	wingl_moyen	taill_long	culml_moyen	bilh_moyen	billw_moyen	tarsl_moyen	midtl_court	weig_moyen
E040	Inv	wingl_moyen	taill_court	culml_long	bilh_court	billw_moyen	tarsl_trescourt	midtl_trescourt	weig_leger
E041	Inv	wingl_court	taill_court	culml_court	bilh_court	billw_moyen	tarsl_trescourt	midtl_trescourt	weig_tresleger
E042	Inv	wingl_trescourt	taill_trescourt	culml_court	bilh_trescourt	billw_tresfin	tarsl_long	midtl_court	weig_tresleger
E043	Inv	wingl_trescourt	taill_trescourt	culml_court	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_court	weig_tresleger
E045	Fr_Inv_Lim	wingl_moyen	taill_long	culml_long	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E046	Fr_In	wingl_trescourt	taill_moyen	culml_long	bilh_court	billw_fin	tarsl_moyen	midtl_court	weig_leger
E047	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E048	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E049	Fr_In	wingl_court	taill_court	culml_trescourt	bilh_moyen	billw_fin	tarsl_moyen	midtl_court	weig_leger
E050	Gr_In	wingl_long	taill_court	culml_court	bilh_moyen	billw_moyen	tarsl_moyen	midtl_moyen	weig_leger
E051	Gr_In	wingl_court	taill_trescourt	culml_trescourt	bilh_moyen	billw_fin	tarsl_court	midtl_trescourt	weig_leger
E052	Gr	wingl_court	taill_trescourt	culml_trescourt	bilh_moyen	billw_large	tarsl_court	midtl_court	weig_leger
E053	Gr	wingl_trescourt	taill_moyen	culml_trescourt	bilh_moyen	billw_fin	tarsl_court	midtl_court	weig_leger
E054	Gr_In	wingl_moyen	taill_long	culml_moyen	bilh_long	billw_moyen	tarsl_long	midtl_long	weig_moyen
E055	Gr_In	wingl_moyen	taill_long	culml_court	bilh_long	billw_moyen	tarsl_long	midtl_moyen	weig_moyen
E056	Fr_In	wingl_moyen	taill_moyen	culml_moyen	bilh_long	billw_large	tarsl_moyen	midtl_moyen	weig_moyen
E057	Gr_In	wingl_moyen	taill_moyen	culml_moyen	bilh_long	billw_large	tarsl_moyen	midtl_moyen	weig_moyen
E058	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_court	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E059	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_moyen	tarsl_court	midtl_trescourt	weig_tresleger
E060	Inv	wingl_court	taill_trescourt	culml_long	bilh_long	billw_fin	tarsl_trescourt	midtl_trescourt	weig_lourd
E061	Fr_In	wingl_moyen	taill_moyen	culml_moyen	bilh_moyen	billw_moyen	tarsl_moyen	midtl_moyen	weig_moyen
E062	Gr_In	wingl_long	taill_moyen	culml_long	bilh_long	billw_moyen	tarsl_long	midtl_long	weig_lourd
E063	Gr	wingl_court	taill_trescourt	culml_trescourt	bilh_moyen	billw_large	tarsl_trescourt	midtl_trescourt	weig_tresleger
E064	Gr	wingl_court	taill_trescourt	culml_trescourt	bilh_moyen	billw_large	tarsl_trescourt	midtl_long	weig_tresleger
E066	Gr	wingl_court	taill_court	culml_trescourt	bilh_long	billw_moyen	tarsl_long	midtl_court	weig_leger
E067	Fr_In	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E069	Gr	wingl_long	taill_long	culml_moyen	bilh_court	billw_tresfin	tarsl_moyen	midtl_long	weig_lourd
E072	Inv	wingl_moyen	taill_court	culml_long	bilh_moyen	billw_large	tarsl_trescourt	midtl_moyen	weig_moyen
E074	Inv	wingl_trescourt	taill_long	culml_moyen	bilh_trescourt	billw_tresfin	tarsl_moyen	midtl_court	weig_tresleger
E075	Inv	wingl_trescourt	taill_moyen	culml_long	bilh_trescourt	billw_tresfin	tarsl_court	midtl_court	weig_leger
E076	Inv	wingl_trescourt	taill_moyen	culml_trescourt	bilh_court	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E077	Inv	wingl_trescourt	taill_moyen	culml_moyen	bilh_court	billw_fin	tarsl_moyen	midtl_moyen	weig_leger
E078	Fr_Inv_Lim	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E079	Fr_Inv_Lim	wingl_moyen	taill_moyen	culml_moyen	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E080	Fr_Inv_Lim	wingl_court	taill_moyen	culml_moyen	bilh_moyen	billw_moyen	tarsl_long	midtl_moyen	weig_lourd
E081	Fr_Inv_Lim	wingl_court	taill_court	culml_moyen	bilh_court	billw_moyen	tarsl_long	midtl_long	weig_lourd
E082	Inv	wingl_trescourt	taill_long	culml_moyen	bilh_moyen	billw_fin	tarsl_moyen	midtl_moyen	weig_moyen
E083	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_moyen	weig_leger
E085	Fr_In	wingl_moyen	taill_long	culml_moyen	bilh_court	billw_moyen	tarsl_long	midtl_moyen	weig_moyen
E086	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E087	Fr_In	wingl_court	taill_moyen	culml_court	bilh_long	billw_fin	tarsl_court	midtl_court	weig_leger
E089	Inv	wingl_trescourt	taill_trescourt	culml_court	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_court	weig_tresleger
E090	Fr_In	wingl_long	taill_long	culml_long	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E091	Fr_Inv_Lim	wingl_long	taill_long	culml_long	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E092	Gr_In	wingl_court	taill_court	culml_court	bilh_moyen	billw_fin	tarsl_moyen	midtl_moyen	weig_moyen
E093	Gr_In	wingl_court	taill_court	culml_court	bilh_moyen	billw_large	tarsl_moyen	midtl_moyen	weig_leger
E095	Gr	wingl_court	taill_court	culml_trescourt	bilh_moyen	billw_large	tarsl_trescourt	midtl_court	weig_leger
E097	Fr_Inv_Lim	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E098	Gr_In	wingl_court	taill_trescourt	culml_trescourt	bilh_long	billw_moyen	tarsl_trescourt	midtl_court	weig_leger
E100	Gr	wingl_long	taill_long	culml_long	bilh_court	billw_fin	tarsl_court	midtl_long	weig_lourd
E101	Inv	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E102	Inv	wingl_long	taill_long	culml_long	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E103	Inv	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E105	Inv	wingl_moyen	taill_moyen	culml_moyen	bilh_court	billw_moyen	tarsl_moyen	midtl_moyen	weig_moyen
E107	Fr_Inv_Lim	wingl_court	taill_court	culml_court	bilh_trescourt	billw_fin	tarsl_moyen	midtl_court	weig_leger
E110	Fr_Inv_Lim	wingl_long	taill_long	culml_long	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E111	Inv	wingl_court	taill_trescourt	culml_moyen	bilh_trescourt	billw_fin	tarsl_moyen	midtl_trescourt	weig_tresleger
E112	Inv	wingl_long	taill_moyen	culml_moyen	bilh_court	billw_fin	tarsl_moyen	midtl_court	weig_moyen
E113	Fr_In	wingl_court	taill_court	culml_court	bilh_trescourt	billw_fin	tarsl_court	midtl_court	weig_leger
E114	Fr_In	wingl_trescourt	taill_court	culml_court	bilh_trescourt	billw_fin	tarsl_long	midtl_trescourt	weig_leger
E115	Inv	wingl_trescourt	taill_court	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E116	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E117	Inv	wingl_trescourt	taill_long	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E118	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E119	Inv	wingl_trescourt	taill_trescourt	culml_long	bilh_trescourt	billw_tresfin	tarsl_court	midtl_trescourt	weig_tresleger
E120	Inv	wingl_trescourt	taill_trescourt	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E121	Inv	wingl_trescourt	taill_moyen	culml_trescourt	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E122	Inv	wingl_court	taill_court	culml_trescourt	bilh_court	billw_fin	tarsl_court	midtl_trescourt	weig_leger
