Indices	Niveau_trophique
Heracleum_sphondylium	8
Arum_italicum	6
Hedera_helix	6
Carex_pendula	6
Trifolium_repens	3
Iris_pseudacorus	7
Plantago_lanceolata	5
Lolium_perenne	5
Poa_annua	6
Dactylis_glomerata	5
Festuca_pratensis	5
Phleum_pratense	5
Poa_trivialis	6
Rumex_crispus	8
Rumex_acetosa	6
Ranunculus_bulbosus	3
Ranunculus_ficaria	7
Potentilla_reptans	6
Filipendula_ulmaria	6
Galium_aparine	5
Veronica_chamaedrys	5
Urtica_dioica	9
Holcus_lanatus	3
Vicia_sativa	7
Geranium_molle	6
Bromus_hordeaceus	5
Anthriscus_sylvestris	6
Cyanus_montanus	6
Corylus_avellana	6
Laurus_nobilis	5
Acer_pseudoplatanus	7
Crataegus_monogyna	5
Prunus_laurocerasus	5
Quercus_robur	5
Ilex_aquifolium	4
Leucojum_aestivum	5
Ranunculus_repens	5
Cynosurus_cristatus	5
Lamium_purpureum	8
Cardamine_pratensis	5
Sambucus_nigra	8
Alnus_glutinosa	5
Populus_nigra	7
Reynoutria_japonica	8
