Indices	Humidite	Niveau_trophique	Acidite
Heracleum_sphondylium	6	8	8
Arum_italicum	5	6	6
Hedera_helix	5	6	5
Carex_pendula	8	6	6
Trifolium_repens	7	3	4
Iris_pseudacorus	9	7	7
Plantago_lanceolata	4	5	6
Lolium_perenne	5	5	5
Poa_annua	6	6	5
Dactylis_glomerata	5	5	4
Festuca_pratensis	5	5	6
Phleum_pratense	5	5	5
Poa_trivialis	7	6	7
Rumex_crispus	5	8	6
Rumex_acetosa	6	6	8
Ranunculus_ficaria	7	7	7
Potentilla_reptans	6	6	7
Filipendula_ulmaria	7	6	5
Galium_aparine	5	5	8
Veronica_chamaedrys	7	5	4
Urtica_dioica	5	9	6
Holcus_lanatus	6	3	3
Vicia_sativa	5	7	6
Geranium_molle	5	6	6
Bromus_hordeaceus	5	5	7
Anthriscus_sylvestris	5	6	7
Cyanus_montanus	5	6	7
Corylus_avellana	5	6	5
Laurus_nobilis	5	5	5
Acer_pseudoplatanus	5	7	5
Crataegus_monogyna	5	5	5
Prunus_laurocerasus	5	5	5
Quercus_robur	5	5	5
Ilex_aquifolium	5	4	3
Leucojum_aestivum	8	5	7
Ranunculus_repens	5	5	6
Cynosurus_cristatus	5	5	5
Lamium_purpureum	5	8	7
Cardamine_pratensis	6	5	7
Sambucus_nigra	5	8	7
Alnus_glutinosa	9	5	5
Populus_nigra	7	7	7
Reynoutria_japonica	6	8	5
