Sol	Espece	Taux_de_germination
contamine	Agrostis_stolonifera	75
contamine	Agrostis_stolonifera	65
contamine	Agrostis_stolonifera	70
contamine	Agrostis_stolonifera	60
contamine	Agrostis_stolonifera	60
contamine	Agrostis_stolonifera	90
contamine	Agrostis_stolonifera	85
contamine	Agrostis_stolonifera	75
contamine	Agrostis_stolonifera	75
contamine	Agrostis_stolonifera	80
contamine	Agrostis_stolonifera	95
contamine	Agrostis_stolonifera	100
contamine	Agrostis_stolonifera	95
contamine	Agrostis_stolonifera	15
contamine	Centaurea_cyanus	5
contamine	Centaurea_cyanus	25
contamine	Centaurea_cyanus	15
contamine	Centaurea_cyanus	5
contamine	Centaurea_cyanus	20
contamine	Centaurea_cyanus	15
contamine	Centaurea_cyanus	25
contamine	Centaurea_cyanus	5
contamine	Centaurea_cyanus	0
contamine	Centaurea_cyanus	5
contamine	Centaurea_cyanus	10
contamine	Lolium_perenne	65
contamine	Lolium_perenne	90
contamine	Lolium_perenne	20
contamine	Lolium_perenne	90
contamine	Lolium_perenne	50
contamine	Lolium_perenne	55
contamine	Lolium_perenne	80
contamine	Lolium_perenne	75
contamine	Lolium_perenne	30
contamine	Lolium_perenne	30
contamine	Lotus_corniculatus	55
contamine	Lotus_corniculatus	20
contamine	Lotus_corniculatus	20
contamine	Lotus_corniculatus	30
contamine	Lotus_corniculatus	40
contamine	Lotus_corniculatus	40
contamine	Lotus_corniculatus	30
contamine	Lotus_corniculatus	0
contamine	Lotus_corniculatus	40
contamine	Lotus_corniculatus	15
contamine	Lotus_corniculatus	30
controle	Agrostis_stolonifera	75
controle	Agrostis_stolonifera	45
controle	Agrostis_stolonifera	65
controle	Agrostis_stolonifera	90
controle	Agrostis_stolonifera	65
controle	Agrostis_stolonifera	60
controle	Agrostis_stolonifera	45
controle	Agrostis_stolonifera	95
controle	Agrostis_stolonifera	90
controle	Agrostis_stolonifera	95
controle	Agrostis_stolonifera	75
controle	Agrostis_stolonifera	80
controle	Agrostis_stolonifera	45
controle	Agrostis_stolonifera	80
controle	Agrostis_stolonifera	70
controle	Centaurea_cyanus	10
controle	Centaurea_cyanus	0
controle	Centaurea_cyanus	20
controle	Centaurea_cyanus	40
controle	Centaurea_cyanus	5
controle	Centaurea_cyanus	20
controle	Centaurea_cyanus	5
controle	Centaurea_cyanus	15
controle	Centaurea_cyanus	15
controle	Centaurea_cyanus	25
controle	Centaurea_cyanus	35
controle	Lolium_perenne	80
controle	Lolium_perenne	80
controle	Lolium_perenne	65
controle	Lolium_perenne	45
controle	Lolium_perenne	70
controle	Lolium_perenne	60
controle	Lolium_perenne	45
controle	Lolium_perenne	70
controle	Lolium_perenne	20
controle	Lolium_perenne	30
controle	Lotus_corniculatus	25
controle	Lotus_corniculatus	30
controle	Lotus_corniculatus	35
controle	Lotus_corniculatus	20
controle	Lotus_corniculatus	70
controle	Lotus_corniculatus	50
controle	Lotus_corniculatus	40
controle	Lotus_corniculatus	55
controle	Lotus_corniculatus	55
controle	Lotus_corniculatus	35
controle	Lotus_corniculatus	40
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
