Sol	Espece	 Rapport_corrige 
contamine	Agrostis_stolonifera	 1.08   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 1.04   
contamine	Agrostis_stolonifera	 2.00   
contamine	Agrostis_stolonifera	 1.14   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 4.00   
contamine	Agrostis_stolonifera	 1.42   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 1.32   
contamine	Agrostis_stolonifera	 4.80   
contamine	Agrostis_stolonifera	 2.78   
contamine	Agrostis_stolonifera	 5.56   
contamine	Agrostis_stolonifera	 1.24   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 1.14   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 2.38   
contamine	Agrostis_stolonifera	 1.13   
contamine	Agrostis_stolonifera	 1.56   
contamine	Agrostis_stolonifera	 2.78   
contamine	Agrostis_stolonifera	 4.29   
contamine	Agrostis_stolonifera	 2.50   
contamine	Agrostis_stolonifera	 1.88   
contamine	Agrostis_stolonifera	 6.50   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 2.00   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 2.67   
contamine	Agrostis_stolonifera	 3.00   
contamine	Agrostis_stolonifera	 5.52   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 1.00   
contamine	Agrostis_stolonifera	 3.00   
contamine	Agrostis_stolonifera	 2.00   
contamine	Centaurea_cyanus	 4.25   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.80   
contamine	Centaurea_cyanus	 1.05   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.31   
contamine	Centaurea_cyanus	 1.13   
contamine	Centaurea_cyanus	 4.29   
contamine	Centaurea_cyanus	 1.61   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 2.75   
contamine	Centaurea_cyanus	 1.39   
contamine	Centaurea_cyanus	 1.53   
contamine	Centaurea_cyanus	 1.02   
contamine	Centaurea_cyanus	 2.38   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.21   
contamine	Centaurea_cyanus	 1.22   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.08   
contamine	Centaurea_cyanus	 1.63   
contamine	Centaurea_cyanus	 1.96   
contamine	Centaurea_cyanus	 1.63   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.82   
contamine	Centaurea_cyanus	 1.50   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.17   
contamine	Centaurea_cyanus	 2.13   
contamine	Centaurea_cyanus	 1.40   
contamine	Centaurea_cyanus	 1.50   
contamine	Centaurea_cyanus	 6.15   
contamine	Centaurea_cyanus	 1.45   
contamine	Centaurea_cyanus	 1.50   
contamine	Centaurea_cyanus	 1.11   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.14   
contamine	Lolium_perenne	 1.17   
contamine	Lolium_perenne	 1.10   
contamine	Lolium_perenne	 1.06   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 1.64   
contamine	Lolium_perenne	 1.73   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 1.14   
contamine	Lolium_perenne	 2.27   
contamine	Lolium_perenne	 1.52   
contamine	Lolium_perenne	 2.00   
