Sol	Espece	Rapport
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	1.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.25
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	1.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.33
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	1.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	1.67
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	2.00
contamine	Agrostis_stolonifera	1.50
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	1.33
contamine	Centaurea_cyanus	1.00
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	1.25
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	1.40
contamine	Centaurea_cyanus	1.80
contamine	Centaurea_cyanus	1.80
contamine	Centaurea_cyanus	1.60
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	1.75
contamine	Centaurea_cyanus	1.40
contamine	Centaurea_cyanus	1.40
contamine	Centaurea_cyanus	1.60
contamine	Centaurea_cyanus	1.25
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	1.33
contamine	Centaurea_cyanus	1.80
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	1.00
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	2.40
contamine	Centaurea_cyanus	1.20
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	1.50
contamine	Centaurea_cyanus	1.40
contamine	Centaurea_cyanus	1.75
contamine	Centaurea_cyanus	1.40
contamine	Centaurea_cyanus	1.60
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	2.00
contamine	Centaurea_cyanus	1.25
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	1.33
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	1.33
contamine	Lolium_perenne	2.50
contamine	Lolium_perenne	1.50
contamine	Lolium_perenne	1.50
contamine	Lolium_perenne	2.50
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.50
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	1.50
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	1.50
contamine	Lolium_perenne	1.33
contamine	Lolium_perenne	2.50
contamine	Lolium_perenne	2.50
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	1.00
contamine	Lolium_perenne	1.33
contamine	Lolium_perenne	1.33
contamine	Lolium_perenne	2.00
contamine	Lolium_perenne	1.50
contamine	Lolium_perenne	1.33
contamine	Lolium_perenne	2.00
