Time;PM10 Bam Laennec;PM2.5 Bam Laennec
25/06/2021 00:15;11,1;10,2
25/06/2021 00:30;10,9;10,3
25/06/2021 00:45;10,9;10,3
25/06/2021 01:00;10,9;10,3
25/06/2021 01:15;9,3;6,9
25/06/2021 01:30;9,2;6,8
25/06/2021 01:45;9,2;6,8
25/06/2021 02:00;9,2;6,8
25/06/2021 02:15;5,6;5,2
25/06/2021 02:30;5,5;5,2
25/06/2021 02:45;5,5;5,2
25/06/2021 03:00;5,5;5,2
25/06/2021 03:15;10,4;5,3
25/06/2021 03:30;10,5;5,3
25/06/2021 03:45;10,5;5,3
25/06/2021 04:00;10,5;5,3
25/06/2021 04:15;7,6;4,2
25/06/2021 04:30;7,6;4,1
25/06/2021 04:45;7,6;4,1
25/06/2021 05:00;7,6;4,1
25/06/2021 05:15;10,1;3,5
25/06/2021 05:30;10,2;3,5
25/06/2021 05:45;10,2;3,5
25/06/2021 06:00;10,2;3,5
25/06/2021 06:15;12,5;3,4
25/06/2021 06:30;12,6;3,4
25/06/2021 06:45;12,6;3,4
25/06/2021 07:00;12,6;3,4
25/06/2021 07:15;16;7,2
25/06/2021 07:30;16,1;7,3
25/06/2021 07:45;16,1;7,3
25/06/2021 08:00;16,1;7,3
25/06/2021 08:15;15,3;7,7
25/06/2021 08:30;15,3;7,7
25/06/2021 08:45;15,3;7,7
25/06/2021 09:00;15,3;7,7
25/06/2021 09:15;23,4;6,7
25/06/2021 09:30;23,5;6,6
25/06/2021 09:45;23,5;6,6
25/06/2021 10:00;23,5;6,6
25/06/2021 10:15;26,1;10
25/06/2021 10:30;26,2;10,1
25/06/2021 10:45;26,2;10,1
25/06/2021 11:00;26,2;10,1
25/06/2021 11:15;29,6;11
25/06/2021 11:30;29,6;11,1
25/06/2021 11:45;29,6;11,1
25/06/2021 12:00;29,6;11,1
25/06/2021 12:15;24,4;9,4
25/06/2021 12:30;24,2;9,3
25/06/2021 12:45;24,2;9,3
25/06/2021 13:00;24,2;9,3
25/06/2021 13:15;24,9;9,8
25/06/2021 13:30;24,9;9,8
25/06/2021 13:45;24,9;9,8
25/06/2021 14:00;24,9;9,8
25/06/2021 14:15;20;10
25/06/2021 14:30;19,9;10
25/06/2021 14:45;19,9;10
25/06/2021 15:00;19,9;10
25/06/2021 15:15;24,3;8,9
25/06/2021 15:30;24,4;8,9
25/06/2021 15:45;24,4;8,9
25/06/2021 16:00;24,4;8,9
25/06/2021 16:15;16,2;8,5
25/06/2021 16:30;16,1;8,5
25/06/2021 16:45;16,1;8,5
25/06/2021 17:00;16,1;8,5
25/06/2021 17:15;8;5
25/06/2021 17:30;7,8;4,9
25/06/2021 17:45;7,8;4,9
25/06/2021 18:00;7,8;4,9
25/06/2021 18:15;13,6;7,6
25/06/2021 18:30;13,7;7,7
25/06/2021 18:45;13,7;7,7
25/06/2021 19:00;13,7;7,7
25/06/2021 19:15;11,2;4,6
25/06/2021 19:30;11,2;4,5
25/06/2021 19:45;11,2;4,5
25/06/2021 20:00;11,2;4,5
25/06/2021 20:15;7,5;1
25/06/2021 20:30;7,4;0,8
25/06/2021 20:45;7,4;0,8
25/06/2021 21:00;7,4;0,8
25/06/2021 21:15;6,1;0,3
25/06/2021 21:30;6;0,3
25/06/2021 21:45;6;0,3
25/06/2021 22:00;6;0,3
25/06/2021 22:15;7,1;0,5
25/06/2021 22:30;7,1;0,5
25/06/2021 22:45;7,1;0,5
25/06/2021 23:00;7,1;0,5
25/06/2021 23:15;3,6;2
25/06/2021 23:30;3,6;2
25/06/2021 23:45;3,6;2
26/06/2021 00:00;3,6;2
26/06/2021 00:15;5,5;0
26/06/2021 00:30;5,5;-0,1
26/06/2021 00:45;5,5;-0,1
26/06/2021 01:00;5,5;-0,1
26/06/2021 01:15;4;0,9
26/06/2021 01:30;4;0,9
26/06/2021 01:45;4;0,9
26/06/2021 02:00;4;0,9
26/06/2021 02:15;4,2;0,5
26/06/2021 02:30;4,2;0,5
26/06/2021 02:45;4,2;0,5
26/06/2021 03:00;4,2;0,5
26/06/2021 03:15;4,6;2,5
26/06/2021 03:30;4,6;2,6
26/06/2021 03:45;4,6;2,6
26/06/2021 04:00;4,6;2,6
26/06/2021 04:15;3,4;3,6
26/06/2021 04:30;3,4;3,6
26/06/2021 04:45;3,4;3,6
26/06/2021 05:00;3,4;3,6
26/06/2021 05:15;3,5;2,6
26/06/2021 05:30;3,5;2,5
26/06/2021 05:45;3,5;2,5
26/06/2021 06:00;3,5;2,5
26/06/2021 06:15;15,5;2,6
26/06/2021 06:30;15,7;2,6
26/06/2021 06:45;15,7;2,6
26/06/2021 07:00;15,7;2,6
26/06/2021 07:15;9,6;4,2
26/06/2021 07:30;9,5;4,3
26/06/2021 07:45;9,5;4,3
26/06/2021 08:00;9,5;4,3
26/06/2021 08:15;10,2;4,2
26/06/2021 08:30;10,2;4,2
26/06/2021 08:45;10,2;4,2
26/06/2021 09:00;10,2;4,2
26/06/2021 09:15;9,5;3,1
26/06/2021 09:30;9,5;3,1
26/06/2021 09:45;9,5;3,1
26/06/2021 10:00;9,5;3,1
26/06/2021 10:15;11,6;0,8
26/06/2021 10:30;11,7;0,7
26/06/2021 10:45;11,7;0,7
26/06/2021 11:00;11,7;0,7
26/06/2021 11:15;7;1,7
26/06/2021 11:30;6,9;1,8
26/06/2021 11:45;6,9;1,8
26/06/2021 12:00;6,9;1,8
26/06/2021 12:15;4,8;1,9
26/06/2021 12:30;4,7;1,9
26/06/2021 12:45;4,7;1,9
26/06/2021 13:00;4,7;1,9
26/06/2021 13:15;4,1;0,8
26/06/2021 13:30;4,1;0,8
26/06/2021 13:45;4,1;0,8
26/06/2021 14:00;4,1;0,8
26/06/2021 14:15;5,1;1,7
26/06/2021 14:30;5,1;1,7
26/06/2021 14:45;5,1;1,7
26/06/2021 15:00;5,1;1,7
26/06/2021 15:15;5,7;3,4
26/06/2021 15:30;5,7;3,4
26/06/2021 15:45;5,7;3,4
26/06/2021 16:00;5,7;3,4
26/06/2021 16:15;8,3;3,8
26/06/2021 16:30;8,3;3,8
26/06/2021 16:45;8,3;3,8
26/06/2021 17:00;8,3;3,8
26/06/2021 17:15;6,2;1,3
26/06/2021 17:30;6,2;1,2
26/06/2021 17:45;6,2;1,2
26/06/2021 18:00;6,2;1,2
26/06/2021 18:15;5,5;-0,8
26/06/2021 18:30;5,5;-0,9
26/06/2021 18:45;5,5;-0,9
26/06/2021 19:00;5,5;-0,9
26/06/2021 19:15;4,3;-1,2
26/06/2021 19:30;4,3;-1,2
26/06/2021 19:45;4,3;-1,2
26/06/2021 20:00;4,3;-1,2
26/06/2021 20:15;7,5;-0,7
26/06/2021 20:30;7,5;-0,7
26/06/2021 20:45;7,5;-0,7
26/06/2021 21:00;7,5;-0,7
26/06/2021 21:15;7,2;4
26/06/2021 21:30;7,2;4,2
26/06/2021 21:45;7,2;4,2
26/06/2021 22:00;7,2;4,2
26/06/2021 22:15;7,3;2,5
26/06/2021 22:30;7,3;2,5
26/06/2021 22:45;7,3;2,5
26/06/2021 23:00;7,3;2,5
